"col0","col1","col2","col3","col4","col5"
"Australia","Canberra","390,706","Sydney","4,921,000","12.6"
"Belize","Belmopan","16,400","Belize City","70,000","4.27"
"Benin","Porto-Novo","223,500","Cotonou","761,100","3.4"
"Bolivia","Sucre","259,388","Santa Cruz de la Sierra","1,453,549","7.1"
"Brazil","Brasília","2,557,158","São Paulo","11,150,249","4.55"
"Burundi","Gitega","22,989","Bujumbura","497,166","21.6"
"Cameroon","Yaoundé","1,430,000","Douala","2,000,000 +","1.4"
"Canada","Ottawa","812,129","Toronto","2,503,281","3.08"
"China","Beijing","22,000,000","Shanghai","34,000,000","1.55"
"Côte d'Ivoire","Yamoussoukro","200,659","Abidjan","4,348,000","21.7"
"Equatorial Guinea","Malabo","187,302","Bata","250,770","1.34"
"India","New Delhi","249,998","Mumbai","12,442,373","49.77"
"Kazakhstan","Nur-Sultan","743,014","Almaty","1,450,095","1.95"
"Liechtenstein","Vaduz","5,109","Schaan","5,806","1.14"
"Malta","Valletta","6,000","Birkirkara","21,000","3.5"
"Federated States of Micronesia","Palikir","5,000","Weno","13,000","2.6"
"Morocco","Rabat","627,000","Casablanca","4,150,000","6.62"
"Myanmar","Naypyidaw","925,000","Yangon","4,346,000","4.7"
"New Zealand","Wellington","418,500","Auckland","1,570,100","3.75"
"Nigeria","Abuja","778,567","Lagos","7,937,932","10.2"
